Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Image Src
bad-luck-brian-variation-2-,Bad Luck Brian Variation 2 ,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian_Variation_2_/Bad_Luck_Brian_Variation_2_.webp
bad-luck-brian-variation-3-,Bad Luck Brian Variation 3 ,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian_Variation_3_/Bad_Luck_Brian_Variation_3_.webp
bad-luck-brian-with-captions-,Bad Luck Brian with captions ,,CBB,Sticker,"meme",FALSE,BAD-LUCK-BRIAN-WITH-CAPTIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Brian_with_captions_/Bad_Luck_Brian_with_captions_.webp
bad-luck-spongebob,Bad Luck Spongebob,,CBB,Sticker,"meme",FALSE,BAD-LUCK-SPONGEBOB,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Luck_Spongebob/Bad_Luck_Spongebob.webp
bad-pun-dog,Bad Pun Dog,,CBB,Sticker,"meme",FALSE,BAD-PUN-DOG,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bad_Pun_Dog/Bad_Pun_Dog.webp
batman-slapping-robin,Batman Slapping Robin,,CBB,Sticker,"meme",FALSE,BATMAN-SLAPPING-ROBIN,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Batman_Slapping_Robin/Batman_Slapping_Robin.webp
batman-slapping-robin-discipline-version-meme,Batman Slapping Robin Discipline Version Meme,,CBB,Sticker,"meme",FALSE,BATMAN-SLAPPING-ROBIN-DISCIPLINE-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Batman_Slapping_Robin_Discipline_Version_Meme/Batman_Slapping_Robin_Discipline_Version_Meme.webp
batman-slapping-robin-meme,Batman Slapping Robin Meme,,CBB,Sticker,"meme",FALSE,BATMAN-SLAPPING-ROBIN-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Batman_Slapping_Robin_Meme/Batman_Slapping_Robin_Meme.webp
batman-slapping-robin-parental-version-meme,Batman Slapping Robin Parental Version Meme,,CBB,Sticker,"meme",FALSE,BATMAN-SLAPPING-ROBIN-PARENTAL-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Batman_Slapping_Robin_Parental_Version_Meme/Batman_Slapping_Robin_Parental_Version_Meme.webp
batman-slapping-robin-punishment-version-meme,Batman Slapping Robin Punishment Version Meme,,CBB,Sticker,"meme",FALSE,BATMAN-SLAPPING-ROBIN-PUNISHMENT-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Batman_Slapping_Robin_Punishment_Version_Meme/Batman_Slapping_Robin_Punishment_Version_Meme.webp
be-like-bill,Be Like Bill,,CBB,Sticker,"meme",FALSE,BE-LIKE-BILL,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Be_Like_Bill/Be_Like_Bill.webp
bear-grylls,Bear Grylls,,CBB,Sticker,"meme",FALSE,BEAR-GRYLLS,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bear_Grylls/Bear_Grylls.webp
beetlejuicing,Beetlejuicing,,CBB,Sticker,"meme",FALSE,BEETLEJUICING,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Beetlejuicing/Beetlejuicing.webp
bernie-i-am-once-again-asking-for-your-support,Bernie I Am Once Again Asking For Your Support,,CBB,Sticker,"meme",FALSE,BERNIE-I-AM-ONCE-AGAIN-ASKING-FOR-YOUR-SUPPORT,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bernie_I_Am_Once_Again_Asking_For_Your_Support/Bernie_I_Am_Once_Again_Asking_For_Your_Support.webp
bernie-sanders-mittens,Bernie Sanders Mittens,,CBB,Sticker,"meme",FALSE,BERNIE-SANDERS-MITTENS,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bernie_Sanders_Mittens/Bernie_Sanders_Mittens.webp
bernie-sanders-mittens-cold-version-meme,Bernie Sanders Mittens Cold Version Meme,,CBB,Sticker,"meme",FALSE,BERNIE-SANDERS-MITTENS-COLD-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bernie_Sanders_Mittens_Cold_Version_Meme/Bernie_Sanders_Mittens_Cold_Version_Meme.webp
bernie-sanders-mittens-freezing-version-meme,Bernie Sanders Mittens Freezing Version Meme,,CBB,Sticker,"meme",FALSE,BERNIE-SANDERS-MITTENS-FREEZING-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Bernie_Sanders_Mittens_Freezing_Version_Meme/Bernie_Sanders_Mittens_Freezing_Version_Meme.webp
